farmer_id,region,farm_size,enrollment_cohort,age,female,household_size,baseline_income_usd,baseline_food_security_score,baseline_farm_output_kg,treatment,group,endline_income_usd,endline_food_security_score,endline_farm_output_kg,income_change_usd,sessions_attended
FRM-0001,North,Large (>3 ha),2024-Q1,43,1,2,91.41,6.64,638.9,1,Treatment,124.93,6.94,725.4,33.52,4.0
FRM-0002,North,Small (<1 ha),2024-Q3,30,1,8,99.75,3.43,168.2,0,Control,26.92,2.12,98.1,-72.83,
FRM-0003,North,Small (<1 ha),2024-Q3,30,0,8,75.73,5.99,215.1,0,Control,20.0,6.04,276.1,-55.73,
FRM-0004,North,Large (>3 ha),2024-Q1,48,0,2,176.13,4.55,726.9,1,Treatment,136.54,5.32,838.9,-39.59,5.0
FRM-0005,North,Medium (1-3 ha),2024-Q1,54,0,5,132.19,4.9,292.3,1,Treatment,157.07,6.2,375.9,24.88,5.0
FRM-0006,Central,Medium (1-3 ha),2023-Q3,47,0,6,131.97,5.67,280.5,0,Control,144.42,5.96,248.7,12.45,
FRM-0007,Central,Medium (1-3 ha),2024-Q3,25,0,2,140.47,4.81,458.2,1,Treatment,136.7,4.91,568.7,-3.77,4.0
FRM-0008,Central,Medium (1-3 ha),2023-Q3,35,1,7,162.45,5.64,276.8,1,Treatment,215.21,6.15,390.5,52.76,6.0
FRM-0009,South,Medium (1-3 ha),2023-Q1,29,0,3,145.22,4.31,279.2,1,Treatment,180.11,4.38,272.5,34.89,4.0
FRM-0010,Central,Large (>3 ha),2023-Q1,39,0,5,137.58,5.16,591.4,0,Control,146.75,5.14,590.7,9.17,
FRM-0011,South,Small (<1 ha),2024-Q3,39,1,8,63.54,3.74,287.3,1,Treatment,91.05,4.05,419.3,27.51,6.0
FRM-0012,North,Medium (1-3 ha),2024-Q3,28,1,2,127.42,4.86,313.0,0,Control,180.27,4.92,435.4,52.85,
FRM-0013,North,Small (<1 ha),2023-Q1,37,0,2,106.47,4.04,245.5,1,Treatment,176.89,4.77,340.9,70.42,3.0
FRM-0014,North,Small (<1 ha),2023-Q3,53,0,5,144.22,6.11,299.6,1,Treatment,96.18,6.42,451.0,-48.04,5.0
FRM-0015,Central,Small (<1 ha),2024-Q1,47,0,5,119.21,4.12,162.3,1,Treatment,108.22,4.03,365.1,-10.99,4.0
FRM-0016,South,Small (<1 ha),2023-Q3,34,0,2,148.57,3.38,202.7,0,Control,200.24,3.72,227.8,51.67,
FRM-0017,North,Large (>3 ha),2023-Q3,33,1,4,181.58,4.92,600.3,1,Treatment,147.18,5.51,670.6,-34.4,6.0
FRM-0018,North,Medium (1-3 ha),2023-Q1,58,0,5,93.89,5.0,354.5,0,Control,104.43,4.72,445.8,10.54,
FRM-0019,Central,Medium (1-3 ha),2024-Q1,37,0,6,150.42,2.04,203.1,0,Control,236.49,2.61,299.7,86.07,
FRM-0020,Central,Small (<1 ha),2023-Q1,50,1,7,56.91,3.37,201.6,0,Control,20.0,3.3,264.2,-36.91,
FRM-0021,North,Large (>3 ha),2024-Q3,37,0,8,154.22,5.97,578.7,0,Control,109.11,6.33,478.2,-45.11,
FRM-0022,Central,Large (>3 ha),2023-Q1,56,1,7,170.96,6.43,531.8,0,Control,193.26,6.81,555.6,22.3,
FRM-0023,Central,Medium (1-3 ha),2023-Q1,23,1,5,147.91,5.04,213.9,1,Treatment,202.86,4.77,338.2,54.95,3.0
FRM-0024,North,Large (>3 ha),2023-Q1,60,0,4,168.08,4.52,459.4,1,Treatment,229.32,4.25,400.1,61.24,6.0
FRM-0025,South,Small (<1 ha),2023-Q3,37,1,5,92.07,2.96,295.5,0,Control,50.82,2.94,316.4,-41.25,
FRM-0026,North,Small (<1 ha),2024-Q1,59,1,3,102.02,6.64,195.7,1,Treatment,105.42,8.58,362.7,3.4,5.0
FRM-0027,Central,Small (<1 ha),2024-Q3,62,1,6,124.35,5.56,50.0,0,Control,119.66,7.11,156.3,-4.69,
FRM-0028,Central,Small (<1 ha),2024-Q3,28,0,5,101.83,4.24,155.8,0,Control,134.52,3.82,148.6,32.69,
FRM-0029,North,Medium (1-3 ha),2023-Q3,44,0,2,100.62,3.88,295.5,0,Control,123.4,3.15,386.7,22.78,
FRM-0030,North,Small (<1 ha),2023-Q3,42,1,2,89.57,5.51,161.7,0,Control,103.3,6.43,94.7,13.73,
FRM-0031,Central,Small (<1 ha),2023-Q1,51,0,2,122.81,3.97,240.5,0,Control,81.37,3.8,275.1,-41.44,
FRM-0032,North,Medium (1-3 ha),2023-Q3,61,0,5,130.25,6.86,307.3,0,Control,115.15,7.41,293.8,-15.1,
FRM-0033,Central,Medium (1-3 ha),2023-Q1,31,0,6,166.92,3.16,314.3,0,Control,227.71,2.61,277.9,60.79,
FRM-0034,Central,Small (<1 ha),2024-Q1,43,0,5,73.23,6.7,229.6,0,Control,52.4,6.25,160.6,-20.83,
FRM-0035,Central,Small (<1 ha),2024-Q3,22,0,4,105.17,5.63,159.6,1,Treatment,111.84,7.13,228.7,6.67,3.0
